strategy,top_n,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,old_weight,new_weight,rank,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top1 current-member baseline,1,2022-11-30,2022-12-01,SELL,ALNY,Alnylam Pharmaceuticals,2025-12-22,Wikipedia Nasdaq-100 changes table,220.3500061035156,1.0,0.0,,,,2.9514449564631255
Nasdaq-100 Top1 current-member baseline,1,2022-11-30,2022-12-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,116.38999938964844,0.0,1.0,1,0.7020256640086218,0,2.9514449564631255
Nasdaq-100 Top1 current-member baseline,1,2022-12-30,2023-01-03,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,114.3000030517578,1.0,0.0,,,,2.898446338172538
Nasdaq-100 Top1 current-member baseline,1,2022-12-30,2023-01-03,BUY,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,167.8800048828125,0.0,1.0,1,0.9739353443411671,0,2.898446338172538
Nasdaq-100 Top1 current-member baseline,1,2023-01-31,2023-02-01,SELL,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,197.16000366210935,1.0,0.0,,,,3.4039651776721547
Nasdaq-100 Top1 current-member baseline,1,2023-01-31,2023-02-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,102.30999755859376,0.0,1.0,1,0.728035354061749,0,3.4039651776721547
Nasdaq-100 Top1 current-member baseline,1,2023-03-31,2023-04-03,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,74.06999969482422,1.0,0.0,,,,2.4643896558297844
Nasdaq-100 Top1 current-member baseline,1,2023-03-31,2023-04-03,BUY,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,223.97999572753903,0.0,1.0,1,0.9123159649218946,0,2.4643896558297844
Nasdaq-100 Top1 current-member baseline,1,2023-04-28,2023-05-01,SELL,AXON,Axon Enterprise,2024-12-23,Wikipedia Nasdaq-100 changes table,211.3300018310547,1.0,0.0,,,,2.3252052880314733
Nasdaq-100 Top1 current-member baseline,1,2023-04-28,2023-05-01,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,27.815378452063836,0.0,1.0,1,1.093322441343867,0,2.3252052880314733
Nasdaq-100 Top1 current-member baseline,1,2023-05-31,2023-06-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,38.45495609590561,1.0,0.0,,,,3.2146126438406735
Nasdaq-100 Top1 current-member baseline,1,2023-05-31,2023-06-01,BUY,META,Meta Platforms,,No add date found; assumed already member before test window,263.8295904214734,0.0,1.0,1,1.2355208296885665,0,3.2146126438406735
Nasdaq-100 Top1 current-member baseline,1,2023-06-30,2023-07-03,SELL,META,Meta Platforms,,No add date found; assumed already member before test window,284.4676359393377,1.0,0.0,,,,3.4660754231290056
Nasdaq-100 Top1 current-member baseline,1,2023-06-30,2023-07-03,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,42.4837864062488,0.0,1.0,1,1.6959552380209386,0,3.4660754231290056
Nasdaq-100 Top1 current-member baseline,1,2023-07-31,2023-08-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,46.42370462471362,1.0,0.0,,,,3.787516962627719
Nasdaq-100 Top1 current-member baseline,1,2023-07-31,2023-08-01,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,31.13999938964844,0.0,1.0,1,1.030976916991401,0,3.787516962627719
Nasdaq-100 Top1 current-member baseline,1,2023-08-31,2023-09-01,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,43.4900016784668,1.0,0.0,,,,5.289631415877835
Nasdaq-100 Top1 current-member baseline,1,2023-08-31,2023-09-01,BUY,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,15.15999984741211,0.0,1.0,1,1.3801756352239911,0,5.289631415877835
Nasdaq-100 Top1 current-member baseline,1,2023-09-29,2023-10-02,SELL,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,16.030000686645508,1.0,0.0,,,,5.593192353698995
Nasdaq-100 Top1 current-member baseline,1,2023-09-29,2023-10-02,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,40.150001525878906,0.0,1.0,1,1.8653333028157553,0,5.593192353698995
Nasdaq-100 Top1 current-member baseline,1,2023-11-30,2023-12-01,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,37.650001525878906,1.0,0.0,,,,5.244923851760466
Nasdaq-100 Top1 current-member baseline,1,2023-11-30,2023-12-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,143.32000732421875,0.0,1.0,1,0.4679404189420133,0,5.244923851760466
Nasdaq-100 Top1 current-member baseline,1,2024-02-29,2024-03-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,126.9000015258789,1.0,0.0,,,,4.644019053709952
Nasdaq-100 Top1 current-member baseline,1,2024-02-29,2024-03-01,BUY,CRWD,CrowdStrike,2021-08-26,Wikipedia Nasdaq-100 changes table,319.25,0.0,1.0,1,1.0541923133770488,0,4.644019053709952
Nasdaq-100 Top1 current-member baseline,1,2024-03-28,2024-04-01,SELL,CRWD,CrowdStrike,2021-08-26,Wikipedia Nasdaq-100 changes table,321.0,1.0,0.0,,,,4.669475696917445
Nasdaq-100 Top1 current-member baseline,1,2024-03-28,2024-04-01,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,164.50100708007812,0.0,1.0,1,2.0508823307953987,0,4.669475696917445
Nasdaq-100 Top1 current-member baseline,1,2024-08-30,2024-09-03,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,132.0,1.0,0.0,,,,3.7469119668857536
Nasdaq-100 Top1 current-member baseline,1,2024-08-30,2024-09-03,BUY,INSM,Insmed Incorporated,2025-12-22,Wikipedia Nasdaq-100 changes table,77.55000305175781,0.0,1.0,1,1.6846045354521806,0,3.7469119668857536
Nasdaq-100 Top1 current-member baseline,1,2024-11-29,2024-12-02,SELL,INSM,Insmed Incorporated,2025-12-22,Wikipedia Nasdaq-100 changes table,75.0199966430664,1.0,0.0,,,,3.6246719808641332
Nasdaq-100 Top1 current-member baseline,1,2024-11-29,2024-12-02,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,335.7850036621094,0.0,1.0,1,1.1066517774250646,0,3.6246719808641332
Nasdaq-100 Top1 current-member baseline,1,2025-04-30,2025-05-01,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,282.0,1.0,0.0,,,,3.0440832302095657
Nasdaq-100 Top1 current-member baseline,1,2025-04-30,2025-05-01,BUY,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,120.04000091552734,0.0,1.0,1,0.8814088358795829,0,3.0440832302095657
Nasdaq-100 Top1 current-member baseline,1,2025-09-30,2025-10-01,SELL,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,181.32000732421875,1.0,0.0,,,,4.598077219155814
Nasdaq-100 Top1 current-member baseline,1,2025-09-30,2025-10-01,BUY,WDC,Western Digital,2025-12-22,Wikipedia Nasdaq-100 changes table,118.02855982084074,0.0,1.0,1,0.9908408375683342,0,4.598077219155814
Nasdaq-100 Top1 current-member baseline,1,2025-10-31,2025-11-03,SELL,WDC,Western Digital,2025-12-22,Wikipedia Nasdaq-100 changes table,151.8751474176861,1.0,0.0,,,,5.916649805413335
Nasdaq-100 Top1 current-member baseline,1,2025-10-31,2025-11-03,BUY,SNDK,Sandisk,2026-04-20,Wikipedia Nasdaq-100 changes table,210.8500061035156,0.0,1.0,1,2.6087207524179523,0,5.916649805413335
Nasdaq-100 Top1 PIT membership,1,2019-12-31,2020-01-02,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,28.299999237060547,0.0,1.0,1,0.4693386705117728,3,1.0
Nasdaq-100 Top1 PIT membership,1,2020-04-30,2020-05-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,50.33333206176758,1.0,0.0,,,,1.7785630183287442
Nasdaq-100 Top1 PIT membership,1,2020-04-30,2020-05-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,82.75,0.0,1.0,1,0.739020895002303,0,1.7785630183287442
Nasdaq-100 Top1 PIT membership,1,2020-05-29,2020-06-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,95.625,1.0,0.0,,,,2.055288080092884
Nasdaq-100 Top1 PIT membership,1,2020-05-29,2020-06-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,57.20000076293945,0.0,1.0,1,1.4337529042314907,0,2.055288080092884
Nasdaq-100 Top1 PIT membership,1,2020-07-31,2020-08-03,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,96.61333465576172,1.0,0.0,,,,3.471472595235808
Nasdaq-100 Top1 PIT membership,1,2020-07-31,2020-08-03,BUY,REGN,Regeneron Pharmaceuticals,2012-12-24,Wikipedia Nasdaq-100 changes table,630.579945221257,0.0,1.0,1,0.8025983268585326,4,3.471472595235808
Nasdaq-100 Top1 PIT membership,1,2020-08-31,2020-09-01,SELL,REGN,Regeneron Pharmaceuticals,2012-12-24,Wikipedia Nasdaq-100 changes table,611.4989530131073,1.0,0.0,,,,3.366427799500578
Nasdaq-100 Top1 PIT membership,1,2020-08-31,2020-09-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,89.37000274658203,0.0,1.0,1,1.5649622996218127,0,3.366427799500578
Nasdaq-100 Top1 PIT membership,1,2020-09-30,2020-10-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,74.87999725341797,1.0,0.0,,,,2.8206120245428092
Nasdaq-100 Top1 PIT membership,1,2020-09-30,2020-10-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,146.9199981689453,0.0,1.0,1,4.174017995285337,0,2.8206120245428092
Nasdaq-100 Top1 PIT membership,1,2021-03-31,2021-04-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,229.4566650390625,1.0,0.0,,,,4.405174493512025
Nasdaq-100 Top1 PIT membership,1,2021-03-31,2021-04-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,141.00999450683594,0.0,1.0,1,1.3815469679832497,2,4.405174493512025
Nasdaq-100 Top1 PIT membership,1,2021-04-30,2021-05-03,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,133.0500030517578,1.0,0.0,,,,4.156503103593037
Nasdaq-100 Top1 PIT membership,1,2021-04-30,2021-05-03,BUY,AMAT,Applied Materials,,No add date found; assumed already member before test window,128.6474312803209,0.0,1.0,1,1.3421271782490432,2,4.156503103593037
Nasdaq-100 Top1 PIT membership,1,2021-07-30,2021-08-02,SELL,AMAT,Applied Materials,,No add date found; assumed already member before test window,135.39034163190564,1.0,0.0,,,,4.374361536712787
Nasdaq-100 Top1 PIT membership,1,2021-07-30,2021-08-02,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,19.65497762771269,0.0,1.0,1,0.5407523063203368,2,4.374361536712787
Nasdaq-100 Top1 PIT membership,1,2021-10-29,2021-11-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,25.59488846504044,1.0,0.0,,,,5.696332896358326
Nasdaq-100 Top1 PIT membership,1,2021-10-29,2021-11-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,156.8175048828125,0.0,1.0,1,0.43694977225484966,4,5.696332896358326
Nasdaq-100 Top1 PIT membership,1,2021-11-30,2021-12-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,141.8524932861328,1.0,0.0,,,,5.152734859160543
Nasdaq-100 Top1 PIT membership,1,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,386.8999938964844,0.0,1.0,1,0.840957230808149,0,5.152734859160543
Nasdaq-100 Top1 PIT membership,1,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,311.7366638183594,1.0,0.0,,,,4.1517094853328915
Nasdaq-100 Top1 PIT membership,1,2022-01-31,2022-02-01,BUY,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,147.88999938964844,0.0,1.0,1,0.6028845030747563,0,4.1517094853328915
Nasdaq-100 Top1 PIT membership,1,2022-02-28,2022-03-01,SELL,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,160.24000549316406,1.0,0.0,,,,4.498410666585814
Nasdaq-100 Top1 PIT membership,1,2022-02-28,2022-03-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,289.8933410644531,0.0,1.0,1,0.1645971323542179,3,4.498410666585814
Nasdaq-100 Top1 PIT membership,1,2022-03-31,2022-04-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,360.3833312988281,1.0,0.0,,,,5.592236840010549
Nasdaq-100 Top1 PIT membership,1,2022-03-31,2022-04-01,BUY,QCOM,Qualcomm,,No add date found; assumed already member before test window,138.63044940793944,0.0,1.0,1,0.322674315264714,1,5.592236840010549
Nasdaq-100 Top1 PIT membership,1,2022-04-29,2022-05-02,SELL,QCOM,Qualcomm,,No add date found; assumed already member before test window,128.28382000342376,1.0,0.0,,,,5.174862429316651
Nasdaq-100 Top1 PIT membership,1,2022-04-29,2022-05-02,BUY,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,264.1499938964844,0.0,1.0,1,0.40945048908610926,1,5.174862429316651
Nasdaq-100 Top1 PIT membership,1,2022-06-30,2022-07-01,SELL,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,280.1700134277344,1.0,0.0,,,,5.488704561077868
Nasdaq-100 Top1 PIT membership,1,2022-06-30,2022-07-01,BUY,EXC,Exelon,2019-11-21,Wikipedia Nasdaq-100 changes table,39.42972562810287,0.0,1.0,1,0.23527330696732052,2,5.488704561077868
Nasdaq-100 Top1 PIT membership,1,2022-07-29,2022-08-01,SELL,EXC,Exelon,2019-11-21,Wikipedia Nasdaq-100 changes table,40.48525374405027,1.0,0.0,,,,5.635636397200439
Nasdaq-100 Top1 PIT membership,1,2022-07-29,2022-08-01,BUY,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.49199170874357,0.0,1.0,1,0.2672827696615574,0,5.635636397200439
Nasdaq-100 Top1 PIT membership,1,2022-08-31,2022-09-01,SELL,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.9631716128819,1.0,0.0,,,,5.654949511981818
Nasdaq-100 Top1 PIT membership,1,2022-08-31,2022-09-01,BUY,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,79.25524266217225,0.0,1.0,1,0.3344562993329263,0,5.654949511981818
Nasdaq-100 Top1 PIT membership,1,2022-09-30,2022-10-03,SELL,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,82.59678766722348,1.0,0.0,,,,5.893372456141181
Nasdaq-100 Top1 PIT membership,1,2022-09-30,2022-10-03,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,62.40999984741211,0.0,1.0,1,0.777611617222383,0,5.893372456141181
Nasdaq-100 Top1 PIT membership,1,2022-10-31,2022-11-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,59.630001068115234,1.0,0.0,,,,5.630857341991673
Nasdaq-100 Top1 PIT membership,1,2022-10-31,2022-11-01,BUY,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,92.5146346871925,0.0,1.0,1,0.4354709151316667,1,5.630857341991673
Nasdaq-100 Top1 PIT membership,1,2022-11-30,2022-12-01,SELL,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,94.36841939492692,1.0,0.0,,,,5.743687028530589
Nasdaq-100 Top1 PIT membership,1,2022-11-30,2022-12-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,116.38999938964844,0.0,1.0,1,0.7020256640086218,0,5.743687028530589
Nasdaq-100 Top1 PIT membership,1,2022-12-30,2023-01-03,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,114.3000030517578,1.0,0.0,,,,5.6405485723181155
Nasdaq-100 Top1 PIT membership,1,2022-12-30,2023-01-03,BUY,NFLX,"Netflix, Inc.",2013-06-06,Wikipedia Nasdaq-100 changes table,29.80599975585937,0.0,1.0,1,0.6978604096448346,1,5.6405485723181155
Nasdaq-100 Top1 PIT membership,1,2023-01-31,2023-02-01,SELL,NFLX,"Netflix, Inc.",2013-06-06,Wikipedia Nasdaq-100 changes table,35.38600158691406,1.0,0.0,,,,6.696519572099821
Nasdaq-100 Top1 PIT membership,1,2023-01-31,2023-02-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,102.30999755859376,0.0,1.0,1,0.728035354061749,0,6.696519572099821
Nasdaq-100 Top1 PIT membership,1,2023-03-31,2023-04-03,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,74.06999969482422,1.0,0.0,,,,4.848120560043498
Nasdaq-100 Top1 PIT membership,1,2023-03-31,2023-04-03,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,27.48466960367856,0.0,1.0,1,0.9083439264623381,1,4.848120560043498
Nasdaq-100 Top1 PIT membership,1,2023-05-31,2023-06-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,38.45495609590561,1.0,0.0,,,,6.78320918433662
Nasdaq-100 Top1 PIT membership,1,2023-05-31,2023-06-01,BUY,META,Meta Platforms,,No add date found; assumed already member before test window,263.8295904214734,0.0,1.0,1,1.2355208296885665,0,6.78320918433662
Nasdaq-100 Top1 PIT membership,1,2023-06-30,2023-07-03,SELL,META,Meta Platforms,,No add date found; assumed already member before test window,284.4676359393377,1.0,0.0,,,,7.313825100769247
Nasdaq-100 Top1 PIT membership,1,2023-06-30,2023-07-03,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,42.4837864062488,0.0,1.0,1,1.6959552380209386,0,7.313825100769247
Nasdaq-100 Top1 PIT membership,1,2023-10-31,2023-11-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,40.8554341335007,1.0,0.0,,,,7.033495009391898
Nasdaq-100 Top1 PIT membership,1,2023-10-31,2023-11-01,BUY,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,159.60000610351562,0.0,1.0,1,0.849310337812051,2,7.033495009391898
Nasdaq-100 Top1 PIT membership,1,2023-11-30,2023-12-01,SELL,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,197.88999938964844,1.0,0.0,,,,8.720916477991278
Nasdaq-100 Top1 PIT membership,1,2023-11-30,2023-12-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,143.32000732421875,0.0,1.0,1,0.4679404189420133,0,8.720916477991278
Nasdaq-100 Top1 PIT membership,1,2024-02-29,2024-03-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,126.9000015258789,1.0,0.0,,,,7.721771265756451
Nasdaq-100 Top1 PIT membership,1,2024-02-29,2024-03-01,BUY,CRWD,CrowdStrike,2021-08-26,Wikipedia Nasdaq-100 changes table,319.25,0.0,1.0,1,1.0541923133770488,0,7.721771265756451
Nasdaq-100 Top1 PIT membership,1,2024-04-30,2024-05-01,SELL,CRWD,CrowdStrike,2021-08-26,Wikipedia Nasdaq-100 changes table,290.44000244140625,1.0,0.0,,,,7.024937401028296
Nasdaq-100 Top1 PIT membership,1,2024-04-30,2024-05-01,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,85.02901046138126,0.0,1.0,1,1.2314859455466576,2,7.024937401028296
Nasdaq-100 Top1 PIT membership,1,2024-07-31,2024-08-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,117.47335365334,1.0,0.0,,,,9.705428197102021
Nasdaq-100 Top1 PIT membership,1,2024-07-31,2024-08-01,BUY,ARM,Arm Holdings,2024-06-24,Wikipedia Nasdaq-100 changes table,128.7100067138672,0.0,1.0,1,1.2068917484659587,2,9.705428197102021
Nasdaq-100 Top1 PIT membership,1,2024-08-30,2024-09-03,SELL,ARM,Arm Holdings,2024-06-24,Wikipedia Nasdaq-100 changes table,129.86500549316406,1.0,0.0,,,,9.79252133000137
Nasdaq-100 Top1 PIT membership,1,2024-08-30,2024-09-03,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,115.95409419910476,0.0,1.0,1,0.32748425804466663,3,9.79252133000137
Nasdaq-100 Top1 PIT membership,1,2024-09-30,2024-10-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,121.72171083436712,1.0,0.0,,,,10.279606407196628
Nasdaq-100 Top1 PIT membership,1,2024-09-30,2024-10-01,BUY,AAPL,Apple Inc.,,No add date found; assumed already member before test window,227.8122709144617,0.0,1.0,1,0.3548667677323891,4,10.279606407196628
Nasdaq-100 Top1 PIT membership,1,2024-10-31,2024-11-01,SELL,AAPL,Apple Inc.,,No add date found; assumed already member before test window,219.32585141181025,1.0,0.0,,,,9.896672459242748
Nasdaq-100 Top1 PIT membership,1,2024-10-31,2024-11-01,BUY,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,260.10385127360286,0.0,1.0,1,0.4302329792631543,5,9.896672459242748
Nasdaq-100 Top1 PIT membership,1,2024-11-29,2024-12-02,SELL,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,254.83023885036357,1.0,0.0,,,,9.69601716492766
Nasdaq-100 Top1 PIT membership,1,2024-11-29,2024-12-02,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,335.7850036621094,0.0,1.0,1,1.1066517774250646,0,9.69601716492766
Nasdaq-100 Top1 PIT membership,1,2025-04-30,2025-05-01,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,282.0,1.0,0.0,,,,8.142939114877873
Nasdaq-100 Top1 PIT membership,1,2025-04-30,2025-05-01,BUY,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,120.04000091552734,0.0,1.0,1,0.8814088358795829,0,8.142939114877873
Nasdaq-100 Top1 PIT membership,1,2025-10-31,2025-11-03,SELL,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,205.0449981689453,1.0,0.0,,,,13.909271269290636
Nasdaq-100 Top1 PIT membership,1,2025-10-31,2025-11-03,BUY,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,233.68739709189376,0.0,1.0,1,1.278530084746686,3,13.909271269290636
Nasdaq-100 Top1 PIT membership,1,2025-12-31,2026-01-02,SELL,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,295.00607846003123,1.0,0.0,,,,17.559010979854627
Nasdaq-100 Top1 PIT membership,1,2025-12-31,2026-01-02,BUY,WDC,Western Digital,2025-12-22,Wikipedia Nasdaq-100 changes table,177.11522230299764,0.0,1.0,1,1.4890602155250843,1,17.559010979854627
Nasdaq-100 Top1 PIT membership,1,2026-01-30,2026-02-02,SELL,WDC,Western Digital,2025-12-22,Wikipedia Nasdaq-100 changes table,243.6433847555615,1.0,0.0,,,,24.15454082638409
Nasdaq-100 Top1 PIT membership,1,2026-01-30,2026-02-02,BUY,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,412.0069129532501,0.0,1.0,1,1.683998028348407,1,24.15454082638409
Nasdaq-100 Top1 PIT membership,1,2026-04-30,2026-05-01,SELL,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,511.7799987792969,1.0,0.0,,,,30.003891891114954
Nasdaq-100 Top1 PIT membership,1,2026-04-30,2026-05-01,BUY,SNDK,Sandisk,2026-04-20,Wikipedia Nasdaq-100 changes table,1059.02001953125,0.0,1.0,1,2.6195523914650924,0,30.003891891114954
Nasdaq-100 Top2 current-member baseline,2,2019-12-31,2020-01-02,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,38.5,0.0,0.5,1,0.770064091986985,0,1.0
Nasdaq-100 Top2 current-member baseline,2,2019-12-31,2020-01-02,BUY,ALNY,Alnylam Pharmaceuticals,2025-12-22,Wikipedia Nasdaq-100 changes table,115.56999969482422,0.0,0.5,2,0.6053172184463846,0,1.0
Nasdaq-100 Top2 current-member baseline,2,2020-01-31,2020-02-03,SELL,ALNY,Alnylam Pharmaceuticals,2025-12-22,Wikipedia Nasdaq-100 changes table,115.91999816894533,0.5,0.0,,,,0.9589649780174675
Nasdaq-100 Top2 current-member baseline,2,2020-01-31,2020-02-03,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,44.91266632080078,0.0,0.5,1,0.7888817113529452,0,0.9589649780174675
Nasdaq-100 Top2 current-member baseline,2,2020-02-28,2020-03-02,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,37.0,0.5,0.0,,,,1.0335097712266768
Nasdaq-100 Top2 current-member baseline,2,2020-02-28,2020-03-02,BUY,AAPL,Apple Inc.,,No add date found; assumed already member before test window,68.14337454443714,0.0,0.5,2,0.5828039268401015,0,1.0335097712266768
Nasdaq-100 Top2 current-member baseline,2,2020-03-31,2020-04-01,SELL,AAPL,Apple Inc.,,No add date found; assumed already member before test window,59.50596558883749,0.5,0.0,,,,0.8240970167344317
Nasdaq-100 Top2 current-member baseline,2,2020-03-31,2020-04-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,63.87749862670898,0.0,0.5,2,0.9145671433214735,0,0.8240970167344317
Nasdaq-100 Top2 current-member baseline,2,2020-05-29,2020-06-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,95.625,0.5,0.0,,,,1.3358679388997847
Nasdaq-100 Top2 current-member baseline,2,2020-05-29,2020-06-01,BUY,SHOP,Shopify,2025-05-19,Wikipedia Nasdaq-100 changes table,75.47200012207031,0.0,0.5,2,0.9036557166165193,0,1.3358679388997847
Nasdaq-100 Top2 current-member baseline,2,2020-06-30,2020-07-01,SELL,SHOP,Shopify,2025-05-19,Wikipedia Nasdaq-100 changes table,94.8010025024414,0.5,0.0,,,,1.6893949254725897
Nasdaq-100 Top2 current-member baseline,2,2020-06-30,2020-07-01,BUY,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,109.3000030517578,0.0,0.5,1,1.365161362514701,0,1.6893949254725897
Nasdaq-100 Top2 current-member baseline,2,2020-07-31,2020-08-03,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,96.61333465576172,0.5,0.0,,,,2.1617627084291122
Nasdaq-100 Top2 current-member baseline,2,2020-07-31,2020-08-03,SELL,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,131.0500030517578,0.5,0.0,,,,2.1617627084291122
