variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets
"cash=none SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5583.03,-51.59,1.09,0.0,2020-01-02 to 2026-05-20,5939.38,-74.43,1.232,0.0,355963.28,-74.43,1.142,0.831,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1921.04,-46.04,1.018,0.0,2020-01-02 to 2026-05-20,3021.84,-54.01,1.255,0.0,65354.81,-54.01,1.121,0.647,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1612.4,-48.74,0.946,0.0,2020-01-02 to 2026-05-20,2917.31,-49.91,1.227,0.0,53501.87,-49.91,1.071,0.666,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5940.58,-52.36,1.092,0.0,2020-01-02 to 2026-05-20,6200.12,-75.07,1.229,0.0,396366.72,-75.07,1.141,0.861,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1995.09,-46.08,1.015,0.0,2020-01-02 to 2026-05-20,3270.23,-54.31,1.263,0.0,73459.7,-54.31,1.123,0.672,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1686.08,-50.4,0.946,0.0,2020-01-02 to 2026-05-20,3084.8,-50.16,1.229,0.0,59160.14,-50.4,1.073,0.691,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,6334.75,-53.23,1.092,0.0,2020-01-02 to 2026-05-20,6428.1,-75.82,1.224,0.0,439615.52,-75.82,1.139,0.895,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,2073.7,-46.13,1.008,0.0,2020-01-02 to 2026-05-20,3558.24,-54.66,1.268,0.0,83138.55,-54.66,1.123,0.701,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1766.05,-52.24,0.944,0.0,2020-01-02 to 2026-05-20,3268.96,-50.45,1.229,0.0,65707.21,-52.24,1.072,0.719,0.0,813,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,7171.95,-61.7,1.039,0.0,2020-01-02 to 2026-05-20,3981.97,-88.45,1.096,0.0,309142.35,-88.45,1.048,0.923,35.58,975,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,2731.09,-56.69,1.052,0.0,2020-01-02 to 2026-05-20,2002.41,-61.82,1.065,0.0,61908.12,-61.82,1.038,0.67,18.12,975,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,1872.91,-63.51,0.924,0.0,2020-01-02 to 2026-05-20,2181.13,-57.23,1.066,0.0,46785.26,-63.51,0.979,0.7,20.67,975,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,9828.54,-67.34,1.058,0.0,2020-01-02 to 2026-05-20,4034.47,-90.91,1.091,0.0,429593.22,-90.91,1.056,1.017,35.58,975,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,3603.39,-60.03,1.052,0.0,2020-01-02 to 2026-05-20,2330.66,-64.6,1.065,0.0,94127.52,-64.6,1.04,0.742,18.12,975,123
"cash=none SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,2421.4,-67.46,0.933,0.0,2020-01-02 to 2026-05-20,2377.72,-62.76,1.055,0.0,65295.53,-67.46,0.979,0.774,20.67,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5583.03,-51.59,1.09,0.0,2020-01-02 to 2026-05-20,5939.38,-74.43,1.232,0.0,355963.28,-74.43,1.142,0.831,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1921.04,-46.04,1.018,0.0,2020-01-02 to 2026-05-20,3021.84,-54.01,1.255,0.0,65354.81,-54.01,1.121,0.647,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1612.4,-48.74,0.946,0.0,2020-01-02 to 2026-05-20,2917.31,-49.91,1.227,0.0,53501.87,-49.91,1.071,0.666,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.02,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5940.58,-52.36,1.092,0.0,2020-01-02 to 2026-05-20,6200.12,-75.07,1.229,0.0,396366.72,-75.07,1.141,0.861,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.02,0.67,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1995.09,-46.08,1.015,0.0,2020-01-02 to 2026-05-20,3270.23,-54.31,1.263,0.0,73459.7,-54.31,1.123,0.672,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.02,0.67,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1686.08,-50.4,0.946,0.0,2020-01-02 to 2026-05-20,3084.8,-50.16,1.229,0.0,59160.14,-50.4,1.073,0.691,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.02,0.75,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,6334.75,-53.23,1.092,0.0,2020-01-02 to 2026-05-20,6428.1,-75.82,1.224,0.0,439615.52,-75.82,1.139,0.895,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.02,0.75,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,2073.7,-46.13,1.008,0.0,2020-01-02 to 2026-05-20,3558.24,-54.66,1.268,0.0,83138.55,-54.66,1.123,0.701,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.02,0.75,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1766.05,-52.24,0.944,0.0,2020-01-02 to 2026-05-20,3268.96,-50.45,1.229,0.0,65707.21,-52.24,1.072,0.719,0.0,813,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.02,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,7171.95,-61.7,1.039,0.0,2020-01-02 to 2026-05-20,3981.97,-88.45,1.096,0.0,309142.35,-88.45,1.048,0.923,35.58,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.02,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,2731.09,-56.69,1.052,0.0,2020-01-02 to 2026-05-20,2002.41,-61.82,1.065,0.0,61908.12,-61.82,1.038,0.67,18.12,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.02,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,1872.91,-63.51,0.924,0.0,2020-01-02 to 2026-05-20,2181.13,-57.23,1.066,0.0,46785.26,-63.51,0.979,0.7,20.67,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.0,0.02,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,9828.54,-67.34,1.058,0.0,2020-01-02 to 2026-05-20,4034.47,-90.91,1.091,0.0,429593.22,-90.91,1.056,1.017,35.58,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.0,0.02,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,3603.39,-60.03,1.052,0.0,2020-01-02 to 2026-05-20,2330.66,-64.6,1.065,0.0,94127.52,-64.6,1.04,0.742,18.12,975,123
"cash=none SMA75 exit=0% reentry=2%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.0,0.02,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,2421.4,-67.46,0.933,0.0,2020-01-02 to 2026-05-20,2377.72,-62.76,1.055,0.0,65295.53,-67.46,0.979,0.774,20.67,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.03,0.03,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5583.03,-51.59,1.09,0.0,2020-01-02 to 2026-05-20,5939.38,-74.43,1.232,0.0,355963.28,-74.43,1.142,0.831,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.03,0.03,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1921.04,-46.04,1.018,0.0,2020-01-02 to 2026-05-20,3021.84,-54.01,1.255,0.0,65354.81,-54.01,1.121,0.647,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.03,0.03,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1612.4,-48.74,0.946,0.0,2020-01-02 to 2026-05-20,2917.31,-49.91,1.227,0.0,53501.87,-49.91,1.071,0.666,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.03,0.03,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5940.58,-52.36,1.092,0.0,2020-01-02 to 2026-05-20,6200.12,-75.07,1.229,0.0,396366.72,-75.07,1.141,0.861,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.03,0.03,0.67,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1995.09,-46.08,1.015,0.0,2020-01-02 to 2026-05-20,3270.23,-54.31,1.263,0.0,73459.7,-54.31,1.123,0.672,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.03,0.03,0.67,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1686.08,-50.4,0.946,0.0,2020-01-02 to 2026-05-20,3084.8,-50.16,1.229,0.0,59160.14,-50.4,1.073,0.691,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.03,0.03,0.75,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,6334.75,-53.23,1.092,0.0,2020-01-02 to 2026-05-20,6428.1,-75.82,1.224,0.0,439615.52,-75.82,1.139,0.895,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.03,0.03,0.75,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,2073.7,-46.13,1.008,0.0,2020-01-02 to 2026-05-20,3558.24,-54.66,1.268,0.0,83138.55,-54.66,1.123,0.701,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.03,0.03,0.75,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1766.05,-52.24,0.944,0.0,2020-01-02 to 2026-05-20,3268.96,-50.45,1.229,0.0,65707.21,-52.24,1.072,0.719,0.0,813,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.03,0.03,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,7171.95,-61.7,1.039,0.0,2020-01-02 to 2026-05-20,3981.97,-88.45,1.096,0.0,309142.35,-88.45,1.048,0.923,35.58,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.03,0.03,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,2731.09,-56.69,1.052,0.0,2020-01-02 to 2026-05-20,2002.41,-61.82,1.065,0.0,61908.12,-61.82,1.038,0.67,18.12,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.03,0.03,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,1872.91,-63.51,0.924,0.0,2020-01-02 to 2026-05-20,2181.13,-57.23,1.066,0.0,46785.26,-63.51,0.979,0.7,20.67,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.03,0.03,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,9828.54,-67.34,1.058,0.0,2020-01-02 to 2026-05-20,4034.47,-90.91,1.091,0.0,429593.22,-90.91,1.056,1.017,35.58,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.03,0.03,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,3603.39,-60.03,1.052,0.0,2020-01-02 to 2026-05-20,2330.66,-64.6,1.065,0.0,94127.52,-64.6,1.04,0.742,18.12,975,123
"cash=none SMA75 exit=3% reentry=3%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.03,0.03,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,2421.4,-67.46,0.933,0.0,2020-01-02 to 2026-05-20,2377.72,-62.76,1.055,0.0,65295.53,-67.46,0.979,0.774,20.67,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.05,0.05,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5583.03,-51.59,1.09,0.0,2020-01-02 to 2026-05-20,5939.38,-74.43,1.232,0.0,355963.28,-74.43,1.142,0.831,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.05,0.05,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1921.04,-46.04,1.018,0.0,2020-01-02 to 2026-05-20,3021.84,-54.01,1.255,0.0,65354.81,-54.01,1.121,0.647,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.05,0.05,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1612.4,-48.74,0.946,0.0,2020-01-02 to 2026-05-20,2917.31,-49.91,1.227,0.0,53501.87,-49.91,1.071,0.666,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.05,0.05,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5940.58,-52.36,1.092,0.0,2020-01-02 to 2026-05-20,6200.12,-75.07,1.229,0.0,396366.72,-75.07,1.141,0.861,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.05,0.05,0.67,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1995.09,-46.08,1.015,0.0,2020-01-02 to 2026-05-20,3270.23,-54.31,1.263,0.0,73459.7,-54.31,1.123,0.672,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.05,0.05,0.67,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1686.08,-50.4,0.946,0.0,2020-01-02 to 2026-05-20,3084.8,-50.16,1.229,0.0,59160.14,-50.4,1.073,0.691,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.05,0.05,0.75,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,6334.75,-53.23,1.092,0.0,2020-01-02 to 2026-05-20,6428.1,-75.82,1.224,0.0,439615.52,-75.82,1.139,0.895,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.05,0.05,0.75,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,2073.7,-46.13,1.008,0.0,2020-01-02 to 2026-05-20,3558.24,-54.66,1.268,0.0,83138.55,-54.66,1.123,0.701,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.05,0.05,0.75,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,1766.05,-52.24,0.944,0.0,2020-01-02 to 2026-05-20,3268.96,-50.45,1.229,0.0,65707.21,-52.24,1.072,0.719,0.0,813,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.05,0.05,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,7171.95,-61.7,1.039,0.0,2020-01-02 to 2026-05-20,3981.97,-88.45,1.096,0.0,309142.35,-88.45,1.048,0.923,35.58,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.05,0.05,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,2731.09,-56.69,1.052,0.0,2020-01-02 to 2026-05-20,2002.41,-61.82,1.065,0.0,61908.12,-61.82,1.038,0.67,18.12,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.05,0.05,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,1872.91,-63.51,0.924,0.0,2020-01-02 to 2026-05-20,2181.13,-57.23,1.066,0.0,46785.26,-63.51,0.979,0.7,20.67,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",none,75,0.05,0.05,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,9828.54,-67.34,1.058,0.0,2020-01-02 to 2026-05-20,4034.47,-90.91,1.091,0.0,429593.22,-90.91,1.056,1.017,35.58,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",none,75,0.05,0.05,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,3603.39,-60.03,1.052,0.0,2020-01-02 to 2026-05-20,2330.66,-64.6,1.065,0.0,94127.52,-64.6,1.04,0.742,18.12,975,123
"cash=none SMA75 exit=5% reentry=5%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",none,75,0.05,0.05,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,2421.4,-67.46,0.933,0.0,2020-01-02 to 2026-05-20,2377.72,-62.76,1.055,0.0,65295.53,-67.46,0.979,0.774,20.67,975,123
"cash=none SMA100 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",none,100,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,5583.03,-51.59,1.09,0.0,2020-01-02 to 2026-05-20,5939.38,-74.43,1.232,0.0,355963.28,-74.43,1.142,0.831,0.0,813,123
"cash=none SMA100 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",none,100,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,1921.04,-46.04,1.018,0.0,2020-01-02 to 2026-05-20,3021.84,-54.01,1.255,0.0,65354.81,-54.01,1.121,0.647,0.0,813,123
