Ticker,Company,ICB Industry[14],ICB Subsector[14],Symbol,Yahoo Symbol
ADBE,Adobe Inc.,Technology,Computer Software,ADBE,ADBE
AMD,Advanced Micro Devices,Technology,Semiconductors,AMD,AMD
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,ABNB,ABNB
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,ALNY,ALNY
GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,GOOGL,GOOGL
GOOG,Alphabet Inc. (Class C),Technology,Computer Software,GOOG,GOOG
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,AMZN,AMZN
AEP,American Electric Power,Utilities,Electric Utilities,AEP,AEP
AMGN,Amgen,Health Care,Biotechnology,AMGN,AMGN
ADI,Analog Devices,Technology,Semiconductors,ADI,ADI
AAPL,Apple Inc.,Technology,Computer Manufacturing,AAPL,AAPL
AMAT,Applied Materials,Technology,Semiconductors,AMAT,AMAT
APP,AppLovin,Technology,Computer Software,APP,APP
ARM,Arm Holdings,Technology,Semiconductors,ARM,ARM
ASML,ASML Holding,Technology,Industrial Machinery,ASML,ASML
ADSK,Autodesk,Technology,Computer Software,ADSK,ADSK
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,ADP,ADP
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,AXON,AXON
BKR,Baker Hughes,Energy,Oil Equipment & Services,BKR,BKR
