Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,100000.0,100000.0,0.0,0,3
2020-01-03,100000.0,100000.0,0.0,0,0
2020-01-06,100204.1253000648,66666.66666666666,33537.45863339815,1,2
2020-01-07,99978.0533710183,33375.566130992,66602.4872400263,2,1
2020-01-08,100881.88499981316,33375.566130992,67506.31886882115,2,1
2020-01-09,102028.41610386077,33375.566130992,68652.84997286876,2,0
2020-01-10,101560.29678796793,33375.566130992,68184.73065697594,2,0
2020-01-13,101029.02327148369,33375.566130992,67653.45714049168,2,1
2020-01-14,100071.76399658003,33375.566130992,66696.19786558802,2,1
2020-01-15,98975.11151013547,33375.566130992,65599.54537914347,2,1
2020-01-16,100694.20683202331,33375.566130992,67318.64070103131,2,0
2020-01-17,100438.40176912004,33375.566130992,67062.83563812805,2,0
2020-01-21,99632.13572745703,33375.566130992,66256.56959646502,2,1
2020-01-22,100072.97194073338,33375.566130992,66697.40580974138,2,1
2020-01-23,99303.56823444701,33375.566130992,65928.00210345502,2,1
2020-01-24,98135.23044699227,33375.566130992,64759.66431600026,2,0
2020-01-27,96918.83436935584,64804.656321669856,32114.17804768599,1,2
2020-01-28,97782.92623159612,64804.656321669856,32978.26990992626,1,2
2020-01-29,97334.81912846863,64804.656321669856,32530.162806798777,1,2
2020-01-30,96329.49258421775,96329.49258421775,0.0,0,0
2020-01-31,96329.49258421775,96329.49258421775,0.0,0,0
2020-02-03,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-04,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-05,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-06,96329.49258421775,96329.49258421775,0.0,0,0
2020-02-07,96329.49258421775,96329.49258421775,0.0,0,0
2020-02-10,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-11,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-12,96329.49258421775,96329.49258421775,0.0,0,3
2020-02-13,96329.49258421775,96329.49258421775,0.0,0,0
2020-02-14,96329.49258421775,96329.49258421775,0.0,0,0
2020-02-18,97056.69245213975,64219.66172281183,32837.030729327926,1,2
2020-02-19,96868.79774085495,64219.66172281183,32649.136018043126,1,2
